Closest predicted index: 0, MAE: 0.1204686440863254, Loss: -5790168193045.272, Alpha: 10, Beta: 0.001, Gamma: 0.001, Cosine similarity: 0.7773151167047527
Closest predicted index: 1, MAE: 0.3519981705736557, Loss: -5817452649946.298, Alpha: 10, Beta: 0.001, Gamma: 0.01, Cosine similarity: 0.1772465760942631
Closest predicted index: 1, MAE: 0.05288865165329293, Loss: -5359110086533.152, Alpha: 10, Beta: 0.001, Gamma: 0.1, Cosine similarity: 0.18457672221913757
Closest predicted index: 1, MAE: 0.040717657749598235, Loss: -5558562603299.619, Alpha: 10, Beta: 0.001, Gamma: 1.0, Cosine similarity: 0.4847071343764034
Closest predicted index: 1, MAE: 0.1286575223087456, Loss: -5888916453235.854, Alpha: 10, Beta: 0.001, Gamma: 10, Cosine similarity: 0.3935321371865554
Closest predicted index: 1, MAE: 0.09025719639177376, Loss: -5794209742596.906, Alpha: 10, Beta: 0.001, Gamma: 100, Cosine similarity: 0.16971527960715035
Closest predicted index: 1, MAE: 0.05246310456602821, Loss: -5816649971862.602, Alpha: 10, Beta: 0.01, Gamma: 0.001, Cosine similarity: 0.18683971406545075
Closest predicted index: 1, MAE: 0.08860349300275683, Loss: -5792031203626.415, Alpha: 10, Beta: 0.01, Gamma: 0.01, Cosine similarity: 0.17001189733398686
Closest predicted index: 1, MAE: 0.28682916041457807, Loss: -5813160061410.904, Alpha: 10, Beta: 0.01, Gamma: 0.1, Cosine similarity: 0.10196860859073219
Closest predicted index: 1, MAE: 0.039696511604692564, Loss: -5548777372901.616, Alpha: 10, Beta: 0.01, Gamma: 1.0, Cosine similarity: 0.48085438049268825
Closest predicted index: 1, MAE: 0.11130935902695915, Loss: -5790520154117.67, Alpha: 10, Beta: 0.01, Gamma: 10, Cosine similarity: 0.1618052992342904
Closest predicted index: 1, MAE: 0.06680397039659125, Loss: -5796612724278.275, Alpha: 10, Beta: 0.01, Gamma: 100, Cosine similarity: 0.18000509742451687
Closest predicted index: 1, MAE: 0.005803220526088726, Loss: -5858394367160.269, Alpha: 10, Beta: 0.1, Gamma: 0.001, Cosine similarity: 0.3946014943879617
Closest predicted index: 1, MAE: 0.04107363678085463, Loss: -5802207126105.663, Alpha: 10, Beta: 0.1, Gamma: 0.01, Cosine similarity: 0.18652993963756567
Closest predicted index: 1, MAE: 0.02959554063393588, Loss: -5858824252066.664, Alpha: 10, Beta: 0.1, Gamma: 0.1, Cosine similarity: 0.394709488004729
Closest predicted index: 1, MAE: 0.013317472713452627, Loss: -5398433938491.589, Alpha: 10, Beta: 0.1, Gamma: 1.0, Cosine similarity: 0.20425044840115003
Closest predicted index: 1, MAE: 0.2681492780388117, Loss: -5533033441379.731, Alpha: 10, Beta: 0.1, Gamma: 10, Cosine similarity: 0.5324721134179914
Closest predicted index: 1, MAE: 0.15935473524799315, Loss: -5776287003629.312, Alpha: 10, Beta: 0.1, Gamma: 100, Cosine similarity: 0.1441019556411624
Closest predicted index: 1, MAE: 0.22653334254947488, Loss: -5653086410783.278, Alpha: 10, Beta: 1.0, Gamma: 0.001, Cosine similarity: 0.142163851374358
Closest predicted index: 1, MAE: 0.17674178923826034, Loss: -5384638350896.606, Alpha: 10, Beta: 1.0, Gamma: 0.01, Cosine similarity: 0.46408006943726365
Closest predicted index: 1, MAE: 0.30496277802944727, Loss: -5435145445384.453, Alpha: 10, Beta: 1.0, Gamma: 0.1, Cosine similarity: 0.49164683889958943
Closest predicted index: 1, MAE: 0.020810608063830394, Loss: -5697998857618.246, Alpha: 10, Beta: 1.0, Gamma: 1.0, Cosine similarity: 0.39462932268148754
Closest predicted index: 1, MAE: 0.26934188057285224, Loss: -5634599579267.261, Alpha: 10, Beta: 1.0, Gamma: 10, Cosine similarity: 0.10585022203250362
